name,passes,relation,threshold,value,strict_upper_bound,evidence_scope,eligible_for_continuation
common.technical_complete,False,==,True,False,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda4.295000001.postcorrection.gap_nonregression,False,<=,0.08399424867403787,0.09947125620627645,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda4.295000002.postcorrection.gap_nonregression,False,<=,0.07463264855696025,0.11323562487518639,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda4.295000003.postcorrection.gap_nonregression,False,<=,0.06976551261771564,0.07551435607388082,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda3.postcorrection.gap,False,<= and <,0.09609386339137178,0.16187043413694013,0.10677095932374642,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda3.full.agreement,False,>=,0.6778869546395364,0.6777967977724492,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda3.initial.agreement,True,>=,0.7716049382716049,0.8641975308641975,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda3.295000001.postcorrection.gap_nonregression,False,<=,0.12051686493171324,0.15578462623617995,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda3.295000002.postcorrection.gap_nonregression,False,<=,0.1124299182969559,0.1554703679382988,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda3.295000003.postcorrection.gap_nonregression,False,<=,0.08736609474257012,0.17435630823634166,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda4.postcorrection.gap,False,<= and <,0.05314964507679357,0.12230891413889178,0.0590551611964373,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda4.full.agreement,True,>=,0.6486228333394237,0.6922117770078394,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda4.initial.agreement,True,>=,0.5740740740740741,0.7839506172839507,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda4.295000001.postcorrection.gap_nonregression,False,<=,0.04805304860715753,0.17972984784515245,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda4.295000002.postcorrection.gap_nonregression,False,<=,0.07011476368095582,0.10917623738024236,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.gru.lambda4.295000003.postcorrection.gap_nonregression,False,<=,0.05899767130119856,0.07802065719128054,,Descriptive saved-output arithmetic only; original training parent unverified,False
architecture.lambda3.postcorrection.gap,False,<= and <,0.09609386339137178,0.15166337579612651,0.10677095932374642,Descriptive saved-output arithmetic only; original training parent unverified,False
architecture.lambda3.full.agreement,False,>=,0.6778869546395364,0.6749483542064953,,Descriptive saved-output arithmetic only; original training parent unverified,False
architecture.lambda3.initial.agreement,False,>=,0.8641975308641975,0.808641975308642,,Descriptive saved-output arithmetic only; original training parent unverified,False
architecture.lambda4.postcorrection.gap,False,<= and <,0.05314964507679357,0.09607374571844789,0.0590551611964373,Descriptive saved-output arithmetic only; original training parent unverified,False
architecture.lambda4.full.agreement,True,>=,0.6922117770078394,0.7281747356380007,,Descriptive saved-output arithmetic only; original training parent unverified,False
architecture.lambda4.initial.agreement,False,>=,0.7839506172839507,0.6604938271604938,,Descriptive saved-output arithmetic only; original training parent unverified,False
