architecture,seed,episode_id,phase,cell,count,mass,baseline_gap,candidate_gap,gap_delta
innovation,275000001,valid:lambda3:273000002:analytic,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:analytic,post,WC,1,0.2,0.09844961166381835,0.0,-0.09844961166381835
innovation,275000001,valid:lambda3:273000002:analytic,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:period4_hold,initial,CC,3,0.0018281535648994515,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:period4_hold,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:period4_hold,post,CC,654,0.39853747714808047,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:period4_hold,post,CW,145,0.08836075563680683,0.0,0.0053895882612899045,0.0053895882612899045
innovation,275000001,valid:lambda3:273000003:period4_hold,post,WC,5,0.0030469226081657527,0.00015121520400991677,0.0,-0.00015121520400991677
innovation,275000001,valid:lambda3:273000003:period4_hold,post,WW,834,0.5082266910420475,0.01367035353786694,0.01367035353786694,0.0
innovation,275000001,valid:lambda3:273000003:analytic,initial,CC,3,1.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:analytic,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:analytic,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:analytic,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:analytic,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,initial,CC,3,1.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:analytic,initial,CC,2,0.0196078431372549,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:analytic,initial,WW,1,0.00980392156862745,0.0015570883657418046,0.0015570883657418046,0.0
innovation,275000001,valid:lambda3:273000004:analytic,post,CC,62,0.6078431372549019,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:analytic,post,CW,10,0.09803921568627451,0.0,0.04980633305568321,0.04980633305568321
innovation,275000001,valid:lambda3:273000004:analytic,post,WC,10,0.09803921568627451,0.028629592820709825,0.0,-0.028629592820709825
innovation,275000001,valid:lambda3:273000004:analytic,post,WW,17,0.16666666666666666,0.04570590748506434,0.04597910712747013,0.00027319964240579003
innovation,275000001,valid:lambda3:273000004:neural,initial,CC,2,0.01904761904761905,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:neural,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:neural,initial,WW,1,0.009523809523809525,0.0015126001267206101,0.0015126001267206101,0.0
innovation,275000001,valid:lambda3:273000004:neural,post,CC,73,0.6952380952380952,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:neural,post,CW,9,0.08571428571428572,0.0,0.04051112220400856,0.04051112220400856
innovation,275000001,valid:lambda3:273000004:neural,post,WC,7,0.06666666666666667,0.02945345924014137,0.0,-0.02945345924014137
innovation,275000001,valid:lambda3:273000004:neural,post,WW,13,0.12380952380952381,0.017618946802048455,0.018171351296561104,0.000552404494512649
innovation,275000001,valid:lambda3:273000004:period4_hold,initial,CC,1,0.01639344262295082,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:period4_hold,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:period4_hold,initial,WW,2,0.03278688524590164,0.004697049250368212,0.004697049250368212,0.0
innovation,275000001,valid:lambda3:273000004:period4_hold,post,CC,27,0.4426229508196721,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:period4_hold,post,CW,8,0.13114754098360656,0.0,0.023383031125928534,0.023383031125928534
innovation,275000001,valid:lambda3:273000004:period4_hold,post,WC,5,0.08196721311475409,0.03533555640548956,0.0,-0.03533555640548956
innovation,275000001,valid:lambda3:273000004:period4_hold,post,WW,18,0.29508196721311475,0.08095717820964876,0.09210777282714844,0.011150594617499676
innovation,275000001,valid:lambda3:273000005:neural,initial,CC,1,1.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:neural,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:neural,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:neural,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:neural,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:neural,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:neural,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:period4_hold,initial,CC,2,0.001218769043266301,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:period4_hold,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:period4_hold,initial,WC,1,0.0006093845216331506,5.485690417339132e-05,0.0,-5.485690417339132e-05
innovation,275000001,valid:lambda3:273000005:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:period4_hold,post,CC,665,0.4052407068860451,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:period4_hold,post,CW,248,0.15112736136502133,0.0,0.003390541169644855,0.003390541169644855
innovation,275000001,valid:lambda3:273000005:period4_hold,post,WC,120,0.07312614259597806,0.003663143539196249,0.0,-0.003663143539196249
innovation,275000001,valid:lambda3:273000005:period4_hold,post,WW,605,0.36867763558805605,0.015710841585120944,0.015710841585120944,0.0
innovation,275000001,valid:lambda3:273000005:analytic,initial,CC,1,1.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:analytic,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:analytic,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:analytic,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:analytic,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:period4_hold,initial,CC,2,0.001218769043266301,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:period4_hold,initial,CW,1,0.0006093845216331506,0.0,0.00021792707611772072,0.00021792707611772072
innovation,275000001,valid:lambda3:273000006:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:period4_hold,post,CC,602,0.3668494820231566,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:period4_hold,post,CW,479,0.2918951858622791,0.0,0.07777597583117535,0.07777597583117535
innovation,275000001,valid:lambda3:273000006:period4_hold,post,WC,299,0.182205971968312,0.047686918997895344,0.0,-0.047686918997895344
innovation,275000001,valid:lambda3:273000006:period4_hold,post,WW,258,0.15722120658135283,0.03756541700206247,0.04198511267202355,0.004419695669961081
innovation,275000001,valid:lambda3:273000006:analytic,initial,CC,3,0.21428571428571427,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:analytic,post,CC,5,0.35714285714285715,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:analytic,post,CW,1,0.07142857142857142,0.0,0.054440362112862725,0.054440362112862725
innovation,275000001,valid:lambda3:273000006:analytic,post,WC,1,0.07142857142857142,0.044501679284232,0.0,-0.044501679284232
innovation,275000001,valid:lambda3:273000006:analytic,post,WW,4,0.2857142857142857,0.21167162486485072,0.07663447516305107,-0.13503714970179964
innovation,275000001,valid:lambda3:273000006:neural,initial,CC,3,0.16666666666666666,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:neural,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:neural,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:neural,post,CC,7,0.3888888888888889,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:neural,post,CW,1,0.05555555555555555,0.0,0.023579862382676866,0.023579862382676866
innovation,275000001,valid:lambda3:273000006:neural,post,WC,1,0.05555555555555555,0.020988305409749348,0.0,-0.020988305409749348
innovation,275000001,valid:lambda3:273000006:neural,post,WW,6,0.3333333333333333,0.18457751803927952,0.18457751803927952,0.0
innovation,275000001,valid:lambda4:274000001:analytic,initial,CC,1,0.04,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:analytic,initial,WC,2,0.08,0.00576171875,0.0,-0.00576171875
innovation,275000001,valid:lambda4:274000001:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:analytic,post,CC,12,0.48,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:analytic,post,CW,1,0.04,0.0,0.007383575439453125,0.007383575439453125
innovation,275000001,valid:lambda4:274000001:analytic,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:analytic,post,WW,9,0.36,0.1133500099182129,0.12027482986450196,0.00692481994628906
innovation,275000001,valid:lambda4:274000001:neural,initial,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:neural,initial,CW,3,0.16666666666666666,0.0,0.008840348985460069,0.008840348985460069
innovation,275000001,valid:lambda4:274000001:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:neural,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:neural,post,CC,4,0.2222222222222222,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:neural,post,CW,1,0.05555555555555555,0.0,0.04093297322591146,0.04093297322591146
innovation,275000001,valid:lambda4:274000001:neural,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:neural,post,WW,10,0.5555555555555556,0.12446218066745335,0.10747342639499241,-0.016988754272460938
innovation,275000001,valid:lambda4:274000001:period4_hold,initial,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:period4_hold,initial,CW,3,0.0018281535648994515,0.0,9.696909307634446e-05,9.696909307634446e-05
innovation,275000001,valid:lambda4:274000001:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:period4_hold,post,CC,648,0.39488117001828155,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000001:period4_hold,post,CW,65,0.039609993906154786,0.0,0.003926520373747161,0.003926520373747161
innovation,275000001,valid:lambda4:274000001:period4_hold,post,WC,11,0.006703229737964655,0.0007086440893588162,0.0,-0.0007086440893588162
innovation,275000001,valid:lambda4:274000001:period4_hold,post,WW,914,0.5569774527726996,0.017526789164848258,0.017924002944369785,0.0003972137795215276
innovation,275000001,valid:lambda4:274000002:neural,initial,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:neural,initial,CW,1,1.0,0.0,0.059101104736328125,0.059101104736328125
innovation,275000001,valid:lambda4:274000002:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:neural,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:neural,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:neural,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:neural,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:neural,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:period4_hold,initial,CC,2,0.001218769043266301,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:period4_hold,initial,CW,1,0.0006093845216331506,0.0,3.6015298437738043e-05,3.6015298437738043e-05
innovation,275000001,valid:lambda4:274000002:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:period4_hold,post,CC,655,0.3991468616697136,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:period4_hold,post,CW,318,0.19378427787934185,0.0,0.009068950947140282,0.009068950947140282
innovation,275000001,valid:lambda4:274000002:period4_hold,post,WC,18,0.010968921389396709,0.0006812927855143527,0.0,-0.0006812927855143527
innovation,275000001,valid:lambda4:274000002:period4_hold,post,WW,647,0.3942717854966484,0.009933923963073693,0.009933923963073693,0.0
innovation,275000001,valid:lambda4:274000002:analytic,initial,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:analytic,initial,CW,1,1.0,0.0,0.059101104736328125,0.059101104736328125
innovation,275000001,valid:lambda4:274000002:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:analytic,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:analytic,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:analytic,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000002:analytic,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:period4_hold,initial,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:period4_hold,initial,CW,1,0.0006093845216331506,0.0,1.4310926289764721e-05,1.4310926289764721e-05
innovation,275000001,valid:lambda4:274000003:period4_hold,initial,WC,1,0.0006093845216331506,0.0001495438040501457,0.0,-0.0001495438040501457
innovation,275000001,valid:lambda4:274000003:period4_hold,initial,WW,1,0.0006093845216331506,1.162308734194089e-09,1.162308734194089e-09,0.0
innovation,275000001,valid:lambda4:274000003:period4_hold,post,CC,741,0.4515539305301645,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:period4_hold,post,CW,257,0.15661182205971969,0.0,0.034450144974071034,0.034450144974071034
innovation,275000001,valid:lambda4:274000003:period4_hold,post,WC,572,0.3485679463741621,0.05345376942812997,0.0,-0.05345376942812997
innovation,275000001,valid:lambda4:274000003:period4_hold,post,WW,68,0.04143814747105423,0.005700382933538182,0.006450180452382833,0.0007497975188446512
innovation,275000001,valid:lambda4:274000003:analytic,initial,CC,1,1.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:analytic,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:analytic,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:analytic,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:analytic,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:neural,initial,CC,1,0.3333333333333333,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:neural,initial,CW,1,0.3333333333333333,0.0,0.3225879669189453,0.3225879669189453
innovation,275000001,valid:lambda4:274000003:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:neural,initial,WW,1,0.3333333333333333,6.357828776041666e-07,6.357828776041666e-07,0.0
innovation,275000001,valid:lambda4:274000003:neural,post,CC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:neural,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:neural,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000003:neural,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:analytic,initial,CC,1,0.05,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:analytic,initial,WC,2,0.1,0.018506813049316406,0.0,-0.018506813049316406
innovation,275000001,valid:lambda4:274000004:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:analytic,post,CC,11,0.55,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:analytic,post,CW,1,0.05,0.0,0.01996746063232422,0.01996746063232422
innovation,275000001,valid:lambda4:274000004:analytic,post,WC,1,0.05,0.0019014835357666015,0.0,-0.0019014835357666015
innovation,275000001,valid:lambda4:274000004:analytic,post,WW,4,0.2,0.08046948909759521,0.08046948909759521,0.0
innovation,275000001,valid:lambda4:274000004:neural,initial,CC,1,0.06666666666666667,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:neural,initial,CW,1,0.06666666666666667,0.0,0.003261820475260417,0.003261820475260417
innovation,275000001,valid:lambda4:274000004:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:neural,initial,WW,1,0.06666666666666667,0.011863454182942709,0.011863454182942709,0.0
innovation,275000001,valid:lambda4:274000004:neural,post,CC,2,0.13333333333333333,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:neural,post,CW,1,0.06666666666666667,0.0,0.00986328125,0.00986328125
innovation,275000001,valid:lambda4:274000004:neural,post,WC,5,0.3333333333333333,0.3454740842183431,0.0,-0.3454740842183431
innovation,275000001,valid:lambda4:274000004:neural,post,WW,4,0.26666666666666666,0.06139643987019857,0.06139669418334961,2.543131510379659e-07
innovation,275000001,valid:lambda4:274000004:period4_hold,initial,CC,1,0.02127659574468085,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:period4_hold,initial,CW,1,0.02127659574468085,0.0,0.0010410065346575798,0.0010410065346575798
innovation,275000001,valid:lambda4:274000004:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:period4_hold,initial,WW,1,0.02127659574468085,0.003786208781790226,0.003786208781790226,0.0
innovation,275000001,valid:lambda4:274000004:period4_hold,post,CC,23,0.48936170212765956,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000004:period4_hold,post,CW,3,0.06382978723404255,0.0,0.019146493140687334,0.019146493140687334
innovation,275000001,valid:lambda4:274000004:period4_hold,post,WC,8,0.1702127659574468,0.11369370399637425,0.0,-0.11369370399637425
innovation,275000001,valid:lambda4:274000004:period4_hold,post,WW,10,0.2127659574468085,0.06707780919176468,0.06707789035553628,8.11637716063851e-08
innovation,275000001,valid:lambda4:274000005:neural,initial,CC,3,0.036585365853658534,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:neural,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:neural,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:neural,post,CC,63,0.7682926829268293,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:neural,post,CW,7,0.08536585365853659,0.0,0.06455542401569646,0.06455542401569646
innovation,275000001,valid:lambda4:274000005:neural,post,WC,4,0.04878048780487805,0.04018825437964463,0.0,-0.04018825437964463
innovation,275000001,valid:lambda4:274000005:neural,post,WW,5,0.06097560975609756,0.010202210123946027,0.010202210123946027,0.0
innovation,275000001,valid:lambda4:274000005:period4_hold,initial,CC,3,0.0018281535648994515,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:period4_hold,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:period4_hold,post,CC,205,0.12492382693479585,0.0,0.0,0.0
innovation,275000001,valid:lambda4:274000005:period4_hold,post,CW,61,0.03717245581962218,0.0,0.008419065487086954,0.008419065487086954
innovation,275000001,valid:lambda4:274000005:period4_hold,post,WC,32,0.019500304692260818,0.005921777176610004,0.0,-0.005921777176610004
innovation,275000001,valid:lambda4:274000005:period4_hold,post,WW,1340,0.8165752589884216,0.1274197183681072,0.12817377836365731,0.0007540599955501159
innovation,275000001,valid:lambda4:274000005:analytic,initial,CC,3,0.031914893617021274,0.0,0.0,0.0
