Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
{"completed_episodes": 1, "returned_steps": 4}
{"completed_episodes": 80, "returned_steps": 12960}
{"completed_episodes": 81, "returned_steps": 13236}
{"completed_episodes": 82, "returned_steps": 13247}
{"completed_episodes": 83, "returned_steps": 13279}
{"completed_episodes": 84, "returned_steps": 13286}
{"completed_episodes": 85, "returned_steps": 13612}
{"completed_episodes": 86, "returned_steps": 13811}
{"completed_episodes": 87, "returned_steps": 13836}
{"completed_episodes": 88, "returned_steps": 13869}
{"completed_episodes": 89, "returned_steps": 13877}
{"completed_episodes": 90, "returned_steps": 14264}
{"completed_episodes": 91, "returned_steps": 14607}
{"completed_episodes": 92, "returned_steps": 14888}
{"completed_episodes": 93, "returned_steps": 14935}
{"completed_episodes": 94, "returned_steps": 14942}
{"completed_episodes": 95, "returned_steps": 15405}
{"completed_episodes": 96, "returned_steps": 15652}
{"completed_episodes": 97, "returned_steps": 15664}
{"completed_episodes": 98, "returned_steps": 15701}
{"completed_episodes": 99, "returned_steps": 15705}
{"completed_episodes": 100, "returned_steps": 15989}
{"completed_episodes": 101, "returned_steps": 16197}
{"completed_episodes": 102, "returned_steps": 16281}
{"completed_episodes": 103, "returned_steps": 16326}
{"completed_episodes": 104, "returned_steps": 16333}
{"completed_episodes": 105, "returned_steps": 16601}
{"completed_episodes": 106, "returned_steps": 16924}
{"completed_episodes": 107, "returned_steps": 17088}
{"completed_episodes": 108, "returned_steps": 17099}
{"completed_episodes": 109, "returned_steps": 17107}
{"completed_episodes": 110, "returned_steps": 17443}
{"completed_episodes": 111, "returned_steps": 17736}
{"completed_episodes": 112, "returned_steps": 18310}
{"completed_episodes": 113, "returned_steps": 18389}
{"completed_episodes": 114, "returned_steps": 18413}
{"completed_episodes": 115, "returned_steps": 18733}
{"completed_episodes": 116, "returned_steps": 18973}
{"completed_episodes": 117, "returned_steps": 19269}
{"completed_episodes": 118, "returned_steps": 19550}
{"completed_episodes": 119, "returned_steps": 19589}
{"completed_episodes": 120, "returned_steps": 19596}
{"completed_episodes": 121, "returned_steps": 19758}
{"completed_episodes": 122, "returned_steps": 19853}
{"completed_episodes": 123, "returned_steps": 19869}
{"completed_episodes": 124, "returned_steps": 19905}
{"completed_episodes": 125, "returned_steps": 19909}
{"completed_episodes": 126, "returned_steps": 20072}
{"completed_episodes": 127, "returned_steps": 20225}
{"completed_episodes": 128, "returned_steps": 20236}
{"completed_episodes": 129, "returned_steps": 20267}
{"completed_episodes": 130, "returned_steps": 20274}
{"completed_episodes": 131, "returned_steps": 20577}
{"completed_episodes": 132, "returned_steps": 20888}
{"completed_episodes": 133, "returned_steps": 20933}
{"completed_episodes": 134, "returned_steps": 20967}
{"completed_episodes": 135, "returned_steps": 20975}
{"completed_episodes": 136, "returned_steps": 21325}
{"completed_episodes": 137, "returned_steps": 21611}
{"completed_episodes": 138, "returned_steps": 21810}
{"completed_episodes": 139, "returned_steps": 21841}
{"completed_episodes": 140, "returned_steps": 21848}
{"completed_episodes": 141, "returned_steps": 22210}
{"completed_episodes": 142, "returned_steps": 22534}
{"completed_episodes": 143, "returned_steps": 22904}
{"completed_episodes": 144, "returned_steps": 23193}
{"completed_episodes": 145, "returned_steps": 23197}
{"completed_episodes": 146, "returned_steps": 23490}
{"completed_episodes": 147, "returned_steps": 23785}
{"completed_episodes": 148, "returned_steps": 23998}
{"completed_episodes": 149, "returned_steps": 24010}
{"completed_episodes": 150, "returned_steps": 24052}
{"completed_episodes": 151, "returned_steps": 24299}
{"completed_episodes": 152, "returned_steps": 24576}
{"completed_episodes": 153, "returned_steps": 24785}
{"completed_episodes": 154, "returned_steps": 24850}
{"completed_episodes": 155, "returned_steps": 24877}
{"completed_episodes": 156, "returned_steps": 24884}
{"completed_episodes": 157, "returned_steps": 25202}
{"completed_episodes": 158, "returned_steps": 25401}
{"completed_episodes": 159, "returned_steps": 25446}
{"completed_episodes": 160, "returned_steps": 25465}
{"completed_episodes": 161, "returned_steps": 25473}
{"completed_episodes": 162, "returned_steps": 25831}
{"completed_episodes": 163, "returned_steps": 26048}
{"completed_episodes": 164, "returned_steps": 26333}
{"completed_episodes": 165, "returned_steps": 26365}
{"completed_episodes": 166, "returned_steps": 26372}
{"completed_episodes": 167, "returned_steps": 26773}
{"completed_episodes": 168, "returned_steps": 27092}
{"completed_episodes": 169, "returned_steps": 27108}
{"completed_episodes": 170, "returned_steps": 27139}
{"completed_episodes": 171, "returned_steps": 27143}
{"completed_episodes": 172, "returned_steps": 27363}
{"completed_episodes": 173, "returned_steps": 27640}
{"completed_episodes": 174, "returned_steps": 27735}
{"completed_episodes": 175, "returned_steps": 27773}
{"completed_episodes": 176, "returned_steps": 27780}
{"completed_episodes": 177, "returned_steps": 28006}
{"completed_episodes": 178, "returned_steps": 28255}
{"completed_episodes": 179, "returned_steps": 28448}
{"completed_episodes": 180, "returned_steps": 28487}
{"completed_episodes": 181, "returned_steps": 28495}
{"completed_episodes": 182, "returned_steps": 28839}
{"completed_episodes": 183, "returned_steps": 29163}
{"completed_episodes": 184, "returned_steps": 29445}
{"completed_episodes": 185, "returned_steps": 29681}
{"completed_episodes": 186, "returned_steps": 29716}
{"completed_episodes": 187, "returned_steps": 30037}
{"completed_episodes": 188, "returned_steps": 30285}
{"completed_episodes": 189, "returned_steps": 30628}
{"completed_episodes": 190, "returned_steps": 30909}
{"completed_episodes": 191, "returned_steps": 30945}
{"completed_episodes": 192, "returned_steps": 30952}
