Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
{"completed_episodes": 1, "returned_steps": 6}
{"completed_episodes": 131, "returned_steps": 29421}
{"completed_episodes": 132, "returned_steps": 29439}
{"completed_episodes": 133, "returned_steps": 29684}
{"completed_episodes": 134, "returned_steps": 29702}
{"completed_episodes": 135, "returned_steps": 29822}
{"completed_episodes": 136, "returned_steps": 29859}
{"completed_episodes": 137, "returned_steps": 30318}
{"completed_episodes": 138, "returned_steps": 30662}
{"completed_episodes": 139, "returned_steps": 30762}
{"completed_episodes": 140, "returned_steps": 31257}
{"completed_episodes": 141, "returned_steps": 31527}
{"completed_episodes": 142, "returned_steps": 31730}
{"completed_episodes": 143, "returned_steps": 31773}
{"completed_episodes": 144, "returned_steps": 31774}
{"completed_episodes": 145, "returned_steps": 32297}
{"completed_episodes": 146, "returned_steps": 32612}
{"completed_episodes": 147, "returned_steps": 33082}
{"completed_episodes": 148, "returned_steps": 33348}
{"completed_episodes": 149, "returned_steps": 33532}
{"completed_episodes": 150, "returned_steps": 33575}
{"completed_episodes": 151, "returned_steps": 33579}
{"completed_episodes": 152, "returned_steps": 34000}
{"completed_episodes": 153, "returned_steps": 34477}
{"completed_episodes": 154, "returned_steps": 34901}
{"completed_episodes": 155, "returned_steps": 35143}
{"completed_episodes": 156, "returned_steps": 35300}
{"completed_episodes": 157, "returned_steps": 35344}
{"completed_episodes": 158, "returned_steps": 35351}
{"completed_episodes": 159, "returned_steps": 35707}
{"completed_episodes": 160, "returned_steps": 36214}
{"completed_episodes": 161, "returned_steps": 36452}
{"completed_episodes": 162, "returned_steps": 36470}
{"completed_episodes": 163, "returned_steps": 36570}
{"completed_episodes": 164, "returned_steps": 36588}
{"completed_episodes": 165, "returned_steps": 36594}
{"completed_episodes": 166, "returned_steps": 36612}
{"completed_episodes": 167, "returned_steps": 36630}
{"completed_episodes": 168, "returned_steps": 36648}
{"completed_episodes": 169, "returned_steps": 36892}
{"completed_episodes": 170, "returned_steps": 37136}
{"completed_episodes": 171, "returned_steps": 37190}
{"completed_episodes": 172, "returned_steps": 37191}
{"completed_episodes": 173, "returned_steps": 37708}
{"completed_episodes": 174, "returned_steps": 38230}
{"completed_episodes": 175, "returned_steps": 38548}
{"completed_episodes": 176, "returned_steps": 39069}
{"completed_episodes": 177, "returned_steps": 39258}
{"completed_episodes": 178, "returned_steps": 39301}
{"completed_episodes": 179, "returned_steps": 39305}
{"completed_episodes": 180, "returned_steps": 39825}
{"completed_episodes": 181, "returned_steps": 40223}
{"completed_episodes": 182, "returned_steps": 40546}
{"completed_episodes": 183, "returned_steps": 41044}
{"completed_episodes": 184, "returned_steps": 41286}
{"completed_episodes": 185, "returned_steps": 41326}
{"completed_episodes": 186, "returned_steps": 41333}
{"completed_episodes": 187, "returned_steps": 41861}
{"completed_episodes": 188, "returned_steps": 42254}
{"completed_episodes": 189, "returned_steps": 42881}
{"completed_episodes": 190, "returned_steps": 43361}
{"completed_episodes": 191, "returned_steps": 43639}
{"completed_episodes": 192, "returned_steps": 43863}
{"completed_episodes": 193, "returned_steps": 43869}
{"completed_episodes": 194, "returned_steps": 44247}
{"completed_episodes": 195, "returned_steps": 44436}
{"completed_episodes": 196, "returned_steps": 44814}
{"completed_episodes": 197, "returned_steps": 45068}
{"completed_episodes": 198, "returned_steps": 45313}
{"completed_episodes": 199, "returned_steps": 45507}
{"completed_episodes": 200, "returned_steps": 45543}
{"completed_episodes": 201, "returned_steps": 45878}
{"completed_episodes": 202, "returned_steps": 46226}
{"completed_episodes": 203, "returned_steps": 46816}
{"completed_episodes": 204, "returned_steps": 47300}
{"completed_episodes": 205, "returned_steps": 47544}
{"completed_episodes": 206, "returned_steps": 47794}
{"completed_episodes": 207, "returned_steps": 47840}
{"completed_episodes": 208, "returned_steps": 47841}
{"completed_episodes": 209, "returned_steps": 48259}
{"completed_episodes": 210, "returned_steps": 48385}
{"completed_episodes": 211, "returned_steps": 48891}
{"completed_episodes": 212, "returned_steps": 49137}
{"completed_episodes": 213, "returned_steps": 49323}
{"completed_episodes": 214, "returned_steps": 49369}
{"completed_episodes": 215, "returned_steps": 49373}
{"completed_episodes": 216, "returned_steps": 49718}
{"completed_episodes": 217, "returned_steps": 50101}
{"completed_episodes": 218, "returned_steps": 50570}
{"completed_episodes": 219, "returned_steps": 50812}
{"completed_episodes": 220, "returned_steps": 50965}
{"completed_episodes": 221, "returned_steps": 51015}
{"completed_episodes": 222, "returned_steps": 51022}
{"completed_episodes": 223, "returned_steps": 51441}
{"completed_episodes": 224, "returned_steps": 51862}
{"completed_episodes": 225, "returned_steps": 52076}
{"completed_episodes": 226, "returned_steps": 52094}
{"completed_episodes": 227, "returned_steps": 52301}
{"completed_episodes": 228, "returned_steps": 52329}
{"completed_episodes": 229, "returned_steps": 52335}
{"completed_episodes": 230, "returned_steps": 52353}
{"completed_episodes": 231, "returned_steps": 52371}
{"completed_episodes": 232, "returned_steps": 52389}
{"completed_episodes": 233, "returned_steps": 52629}
{"completed_episodes": 234, "returned_steps": 52811}
{"completed_episodes": 235, "returned_steps": 52859}
{"completed_episodes": 236, "returned_steps": 52860}
{"completed_episodes": 237, "returned_steps": 53223}
{"completed_episodes": 238, "returned_steps": 53706}
{"completed_episodes": 239, "returned_steps": 54078}
{"completed_episodes": 240, "returned_steps": 54550}
{"completed_episodes": 241, "returned_steps": 54670}
{"completed_episodes": 242, "returned_steps": 54705}
{"completed_episodes": 243, "returned_steps": 54709}
{"completed_episodes": 244, "returned_steps": 55188}
{"completed_episodes": 245, "returned_steps": 55653}
{"completed_episodes": 246, "returned_steps": 55737}
{"completed_episodes": 247, "returned_steps": 56166}
{"completed_episodes": 248, "returned_steps": 56412}
{"completed_episodes": 249, "returned_steps": 56448}
{"completed_episodes": 250, "returned_steps": 56455}
{"completed_episodes": 251, "returned_steps": 56851}
{"completed_episodes": 252, "returned_steps": 57059}
{"completed_episodes": 253, "returned_steps": 57126}
{"completed_episodes": 254, "returned_steps": 57589}
{"completed_episodes": 255, "returned_steps": 57855}
{"completed_episodes": 256, "returned_steps": 58035}
